"","t","electricity_no_hvac","cooling_electricity","heating_electricity","dw","total_electricity","DHeating","temperature","windSpeed","windBearing","sunAltitude","GHI","nhours","cluster","cluster_train","cluster_pred","dep","m1","m2","m","mt","ml","temp_dep_h","temp_dep_c","GHI_dep","windSpeed_dep","status","temp_dep_c_m1","temp_dep_h_m1","GHI_dep_m1","windSpeed_dep_m1","windBearing_m1","temp_dep_c_m2","temp_dep_h_m2","GHI_dep_m2","windSpeed_dep_m2","windBearing_m2"
"1",2016-01-01,4.22477907532337,0,165.705056569957,"5",169.92983564528,447.403652738883,2.07868921099391,1.45130434782609,193.826086956522,25.5762997375552,18.1688391304348,23,"7","7","7",1,0,0,0,0,0,9.8221091170561,0,18.1688391304348,1.45130434782609,0,0,0,0,0,0,0,0,0,0,0
"2",2016-01-02,3.29963229779429,0,212.763444357174,"6",216.063076654968,574.461299764369,-3.04350581425759,4.55,69.5,25.6623316437964,13.5345458333333,24,"7","7","7",1,0,0,0,0,0,14.9443041423076,0,13.5345458333333,4.55,0,0,0,0,0,0,0,0,0,0,0
"3",2016-01-03,5.24130814872085,0,287.781324549793,"7",293.022632698514,777.009576284441,-9.37633423744944,5.01791666666667,78.7083333333333,25.7557792751307,30.7924541666667,24,"7","7","7",1,0,0,0,0,0,21.2771325654994,0,30.7924541666667,5.01791666666667,0,0,0,0,0,0,0,0,0,0,0
"4",2016-01-04,258.000477449457,0,605.02191417158,"1",863.022391621037,1633.55916826327,-8.99426262467486,3.98083333333333,70.0833333333333,25.8566024936563,21.7450791666667,24,"1","1","1",1,0,0,0,0,0,20.8950609527249,0,21.7450791666667,3.98083333333333,0,0,0,0,0,0,0,0,0,0,0
"5",2016-01-05,261.118407936728,0,480.667159962895,"2",741.785567899623,1297.80133189982,-7.99530035661822,3.56375,54.4166666666667,25.9647580254716,19.4347666666667,24,"1","1","1",1,0,0,0,0,0,19.8960986846682,0,19.4347666666667,3.56375,0,0,0,0,0,0,0,0,0,0,0
"6",2016-01-06,260.509289145624,0,455.916596357654,"3",716.425885503278,1230.97481016567,-7.57307857231933,2.75041666666667,48.8333333333333,26.0801995042354,14.24615,24,"1","1","1",1,0,0,0,0,0,19.4738769003693,0,14.24615,2.75041666666667,0,0,0,0,0,0,0,0,0,0,0
"7",2016-01-07,263.982054179491,0,413.302788510636,"4",677.284842690127,1115.91752897872,-5.48558753840725,2.875,68.75,26.2028775176086,13.8238833333333,24,"1","1","1",1,0,0,0,0,0,17.3863858664573,0,13.8238833333333,2.875,0,0,0,0,0,0,0,0,0,0,0
"8",2016-01-08,263.183027560185,0,298.884436523242,"5",562.067464083427,837.898659787414,2.75200029580663,4.89,201.666666666667,26.3327396564585,23.7706291666667,24,"1","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2016-01-09,4.07237914908424,0,40.2881804498574,"6",44.3605595989416,108.778087214615,1.19120780622193,2.04833333333333,153.333333333333,26.469730566697,36.5508875,24,"7","7","7",1,0,0,0,0,0,10.7095905218281,0,36.5508875,2.04833333333333,0,0,0,0,0,0,0,0,0,0,0
"10",2016-01-10,3.68237861144054,0,111.312056633482,"7",114.994435244922,300.5425529104,0.607228014876362,2.40291666666667,133.208333333333,26.6137920036262,26.7471333333333,24,"7","7","7",1,0,0,0,0,0,11.2935703131736,0,26.7471333333333,2.40291666666667,0,0,0,0,0,0,0,0,0,0,0
"11",2016-01-11,260.91704278626,0,355.773588541046,"1",616.690631327306,960.588689060825,2.54508840783047,1.9375,125.791666666667,26.7648628886523,33.5403583333333,24,"1","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2016-01-12,267.465669909097,0,241.220089090068,"2",508.685758999165,651.294240543185,2.91143243499885,2.21833333333333,145.791666666667,26.9228793682303,21.638225,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2016-01-13,260.535472603581,0,220.132489474211,"3",480.667962077792,594.357721580369,2.68323583889297,3.69166666666667,250.458333333333,27.0877748748974,17.8791708333333,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2016-01-14,262.755127878396,0,194.530755260657,"4",457.285883139053,525.233039203775,1.85795809862944,2.9075,181.125,27.2594801902488,42.6795375,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2016-01-15,259.94325264712,0,209.999048208501,"5",469.94230085562,566.997430162951,0.0586085308662305,2.26791666666667,109,27.4379235097117,25.1547083333333,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2016-01-16,3.54514493883712,0,20.1962682316103,"6",23.7414131704475,54.5299242253479,0.0783878665826312,2.455,226.875,27.6230305089649,33.7820291666667,24,"7","7","7",1,0,0,0,0,0,11.8224104614674,0,33.7820291666667,2.455,0,0,0,0,0,0,0,0,0,0,0
"17",2016-01-17,4.65444237783373,0,76.2795344558334,"7",80.9339768336672,205.95474303075,-0.754874043467406,1.98375,157.541666666667,27.8147244118596,21.1737166666667,24,"7","7","7",1,0,0,0,0,0,12.6556723715174,0,21.1737166666667,1.98375,0,0,0,0,0,0,0,0,0,0,0
"18",2016-01-18,259.297592969266,0,380.589448293348,"1",639.887041262613,1027.59151039204,-4.09691937061613,2.145,241,28.0129260596884,34.7937166666667,24,"1","1","1",1,0,0,0,0,0,15.9977176986661,0,34.7937166666667,2.145,0,0,0,0,0,0,0,0,0,0,0
"19",2016-01-19,260.848185209357,0,316.323498074462,"2",577.171683283818,854.073444801046,-6.57610039749272,2.30208333333333,184.354166666667,28.2175539816552,40.7652541666667,24,"1","1","1",1,0,0,0,0,0,18.4768987255427,0,40.7652541666667,2.30208333333333,0,0,0,0,0,0,0,0,0,0,0
"20",2016-01-20,261.473128199033,0,293.88897601483,"3",555.362104213863,793.500235240041,-1.80370598874999,3.11541666666667,281.25,28.4285244663974,27.0250166666667,24,"1","1","1",1,0,0,0,0,0,13.7045043168,0,27.0250166666667,3.11541666666667,0,0,0,0,0,0,0,0,0,0,0
"21",2016-01-21,260.970507797377,0,286.328928558712,"4",547.299436356089,773.088107108523,-3.09414277078517,2.71375,269.291666666667,28.6457516344151,26.1554875,24,"1","1","1",1,0,0,0,0,0,14.9949410988352,0,26.1554875,2.71375,0,0,0,0,0,0,0,0,0,0,0
"22",2016-01-22,259.462530702975,0,290.835509597752,"5",550.298040300726,785.25587591393,-6.76325484357336,2.40625,134.125,28.8691475112592,42.5396958333333,24,"1","1","1",1,0,0,0,0,0,18.6640531716234,0,42.5396958333333,2.40625,0,0,0,0,0,0,0,0,0,0,0
