"","t","total_electricity","hour","GHI_dep","temp_dep_c","temp_dep_h","temperature","cluster_hour","cluster","windSpeed_dep","m"
"1",2016-01-01 00:00:00,7.56686716523552,1,0,0,10.4756353539228,1.98,146,"7",1.04,0
"2",2016-01-01 01:00:00,7.39861554347597,2,0,0,10.1246353539228,2.331,157,"7",1.29,0
"3",2016-01-01 03:00:00,7.47077370231083,4,0,0,9.90053535392284,2.5551,163,"7",1.64,0
"4",2016-01-01 04:00:00,7.89760311437473,5,0,0,9.91412535392284,2.54151,164,"7",1.28,0
"5",2016-01-01 05:00:00,7.03200667033126,6,0,0,10.0054843539228,2.450151,165,"7",1.17,0
"6",2016-01-01 02:00:00,8.06924281697533,3,0,0,9.83462025392284,2.6210151,162,"7",1.81,0
"7",2016-01-01 07:00:00,8.86438623427765,8,5.6348,0,10.6095338439228,1.84610151,167,"7",1.3,0
"8",2016-01-01 08:00:00,7.23997632299184,9,37.839,0,10.5610252029228,1.894610151,168,"7",1.55,0
"9",2016-01-01 09:00:00,6.31122072515054,10,70.1356,0,10.4211743388228,2.0344610151,147,"7",1.52,0
"10",2016-01-01 06:00:00,8.69996892194111,7,0,0,10.6321892524128,1.82344610151,166,"7",1.09,0
"11",2016-01-01 11:00:00,8.03045539794564,12,78.1598,0,9.97829074377184,2.477344610151,149,"7",2.25,0
"12",2016-01-01 12:00:00,6.40197614251802,13,73.8438,0,10.0209008929077,2.4347344610151,150,"7",2,0
"13",2016-01-01 13:00:00,5.92197995292051,14,49.6181,0,10.0251619078213,2.43047344610151,151,"7",1.67,0
"14",2016-01-01 14:00:00,6.98077900325576,15,21.2626,0,10.0255880093127,2.43004734461015,152,"7",1.6,0
"15",2016-01-01 15:00:00,7.20366745918683,16,0,0,10.0796306194618,2.37600473446102,153,"7",1.78,0
"16",2016-01-01 16:00:00,7.09345911705971,17,0,0,10.2830348804767,2.1726004734461,154,"7",1.52,0
"17",2016-01-01 17:00:00,8.3097080491223,18,0,0,10.5013753065782,1.95426004734461,155,"7",1.18,0
"18",2016-01-01 18:00:00,7.7903892024767,19,0,0,10.7932093491884,1.66242600473446,156,"7",1.29,0
"19",2016-01-01 19:00:00,8.26395190096371,20,0,0,11.0923927534494,1.36324260047345,158,"7",0.97,0
"20",2016-01-01 20:00:00,6.61153355950747,21,0,0,11.1223110938755,1.33332426004734,159,"7",0.92,0
"21",2016-01-01 21:00:00,6.70366698745081,22,0,0,11.0623029279181,1.39333242600473,160,"7",0.97,0
"22",2016-01-01 22:00:00,7.04176438357679,23,0,0,11.1823021113224,1.27333324260047,161,"7",1.45,0
"23",2016-01-01 10:00:00,7.02584327223105,11,81.3896,0,10.0243020296628,2.43133332426005,148,"7",2.09,0
"24",2016-01-02 00:00:00,7.1899698742368,1,0,0,10.9525020214968,1.503133332426,146,"7",1.8,0
"25",2016-01-02 01:00:00,7.76125222997239,2,0,0,11.1443220206802,1.3113133332426,157,"7",2.09,0
"26",2016-01-02 02:00:00,8.07408596847299,3,0,0,11.2895040205986,1.16613133332426,162,"7",2.37,0
"27",2016-01-02 03:00:00,7.18343097647001,4,0,0,11.4300222205904,1.02561313333243,163,"7",2.1,0
"28",2016-01-02 04:00:00,8.50747165569298,5,0,0,11.4980740405896,0.957561313333243,164,"7",2.72,0
"29",2016-01-02 05:00:00,8.53671894523142,6,0,0,12.0178792225895,0.437756131333324,165,"7",3.01,0
"30",2016-01-02 06:00:00,8.03548228114771,7,0,0,12.3668597407895,0.0887756131333324,166,"7",3.2,0
"31",2016-01-02 07:00:00,9.37904131262759,8,2.8183,0,13.2387577926095,-0.783122438686667,167,"7",4.13,0
"32",2016-01-02 08:00:00,10.2866200086293,9,12.5339,0,14.5679475977915,-2.11231224386867,168,"7",4.9,0
"33",2016-01-02 09:00:00,8.52741412614919,10,27.9044,0,15.5378665783097,-3.08223122438687,147,"7",4.91,0
"34",2016-01-02 10:00:00,8.66290698580277,11,54.5706,0,15.9498584763615,-3.49422312243869,148,"7",5.25,0
"35",2016-01-02 11:00:00,8.42836440469088,12,66.7255,0,16.2520576661667,-3.79642231224387,149,"7",5.53,0
"36",2016-01-02 12:00:00,8.62168725574178,13,75.6931,0,16.4352775851472,-3.97964223122439,150,"7",4.82,0
"37",2016-01-02 13:00:00,7.79814383927578,14,60.9189,0,17.0205995770453,-4.56496422312244,151,"7",5.56,0
"38",2016-01-02 14:00:00,9.43258090820642,15,23.6644,0,17.6551317762351,-5.19949642231224,152,"7",5.93,0
"39",2016-01-02 15:00:00,9.39338240650577,16,0,0,18.1955849961541,-5.73994964223122,153,"7",5.65,0
"40",2016-01-02 16:00:00,10.203546073899,17,0,0,18.996630318146,-6.54099496422312,154,"7",6.02,0
"41",2016-01-02 17:00:00,10.5558695297001,18,0,0,19.1217348503452,-6.66609949642231,155,"7",7.01,0
