"n_cluster","len_smallest","id"
6,216,"Panther_office_Garth"
6,216,"Panther_parking_Mellissa"
6,216,"Panther_assembly_Carrol"
6,816,"Panther_lodging_Jana"
5,1245,"Panther_education_Sophia"
6,1416,"Panther_lodging_Myrtle"
6,839,"Panther_office_Shauna"
6,864,"Panther_other_Bethel"
6,1032,"Panther_lodging_Cornelia"
6,1032,"Panther_education_Hugh"
6,674,"Panther_office_Jesus"
6,674,"Panther_other_Bettie"
6,674,"Panther_lodging_Marisol"
6,768,"Panther_office_Taryn"
6,264,"Panther_education_Annetta"
6,264,"Panther_office_Otto"
6,726,"Panther_lodging_Janice"
6,1008,"Panther_education_Ivan"
6,1008,"Panther_education_Alecia"
6,1132,"Panther_office_Christian"
6,672,"Panther_education_Rosalie"
6,840,"Panther_lodging_Else"
6,672,"Panther_education_Jonathan"
5,1488,"Panther_office_Clementine"
6,672,"Panther_lodging_Dianna"
6,624,"Panther_education_Neal"
6,1104,"Panther_education_Mohammad"
6,1104,"Panther_office_Danica"
6,888,"Panther_other_Lucina"
6,407,"Panther_parking_Charlene"
6,384,"Panther_lodging_Russell"
6,1056,"Panther_office_Christin"
6,456,"Panther_education_Enriqueta"
6,1176,"Panther_assembly_David"
6,1176,"Panther_education_Shelton"
6,1416,"Panther_other_Lula"
6,1343,"Panther_lodging_Fausto"
6,527,"Panther_lodging_Alita"
6,527,"Panther_education_Aurora"
5,1795,"Panther_lodging_Willa"
6,23,"Panther_office_Antonette"
6,552,"Panther_office_Kristen"
6,792,"Panther_office_Brent"
6,1319,"Panther_education_Vincent"
6,1056,"Panther_parking_Stanley"
6,1080,"Panther_retail_Rachel"
6,1104,"Panther_education_Genevieve"
6,744,"Panther_education_Mattie"
4,1730,"Panther_lodging_Floyd"
6,979,"Panther_education_Diann"
6,360,"Panther_education_Emily"
6,1512,"Panther_education_Scarlett"
6,264,"Panther_education_Zelda"
6,960,"Panther_retail_Kristina"
6,1253,"Panther_lodging_Sonja"
6,1008,"Panther_lodging_Teresita"
6,1008,"Panther_office_Jeane"
6,1032,"Panther_office_Lavinia"
6,1032,"Panther_parking_Adela"
6,1227,"Panther_office_Lois"
6,455,"Panther_assembly_Denice"
6,954,"Panther_lodging_Kaitlin"
6,1022,"Panther_lodging_Kirk"
6,1022,"Panther_education_Gina"
6,1144,"Panther_assembly_Gwyneth"
6,744,"Panther_lodging_Edmond"
6,552,"Panther_retail_Lester"
6,552,"Panther_education_Karri"
6,432,"Panther_lodging_Anastasia"
6,432,"Panther_lodging_Tracie"
6,623,"Panther_education_Cleopatra"
6,1675,"Panther_other_Tyrone"
